Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website (if available),Denomination,Tradition,Latitude,Longitude,LEA
Letterkenny - Trinity Presbyterian Church,Upper Main Street,,Letterkenny,Donegal,,,PCI,Presbyterian/Reformed,54.95149,-7.73603,LETTERKENNY
Letterkenny Baptist Church,73 Port Road,,Letterkenny,Donegal,F92R K29,www.letterkennybaptistchurch.com,ABCI,Baptist/Independent Evangelical,54.949037,-7.734217,LETTERKENNY
Letterkenny Christian Fellowship,Bonagee Hall,Bonagee Road,Letterkenny,Donegal,F92 ED95,https://www.lcf.ie/,Independent Evangelical,Baptist/Independent Evangelical,54.944751,-7.697285,LETTERKENNY
Letterkenny Presbyterian Church,Main Street,,Letterkenny,Donegal,,,PCI,Presbyterian/Reformed,54.951420,-7.73581,LETTERKENNY
Letterkenny Reformed Presbyterian Church,The Day Centre (Letterkenny Care of the Aged),Oliver Plunkett Road,Letterkenny,Donegal,F92 DE20,https://portal.rpglobalalliance.org/congregations/letterkenny/,Reformed Presbyterian Church of Ireland,Presbyterian/Reformed,54.9500137,-7.7363067,LETTERKENNY
Liberty Church Merchant's Quay,"Unit 3, Ardee Street",Merchants Quay,Dublin 8,Dublin,D08 Y5R2,libertychurch.ie,Various Pentecostal,Pentecostal/Charismatic,53.337523,-6.278457,SOUTH WEST INNER CITY
Liberty Church Quarryvale,Quarryvale Community Centre,"Greenfort Gardens, Clondalkin",Dublin 22,Dublin,D22 NW54,libertychurch.ie,Various Pentecostal,Pentecostal/Charismatic,53.350969,-6.399708,PALMERSTOWN-FONTHILL
Liberty House,Dunshaughlin,,Dunshaughlin,Meath,A85 A662,,RCCG,Pentecostal/Charismatic,53.5124,-6.5412,RATOATH
Life Community Church,"Unit 2 Passage Cross, Dunmore Road",,Waterford,Waterford,,,Various Pentecostal,Pentecostal/Charismatic,52.23311,-7.04669,WATERFORD CITY EAST
Life Sanctuary,Maynooth,,Maynooth,Kildare,W23 A662,,RCCG,Pentecostal/Charismatic,53.3812,-6.5912,MAYNOOTH
Lifegate Bible Baptist Church,3 Main Street,,Tallaght,Dublin,D24 DPK2,https://lifegate.org/,Various Baptist,Baptist/Independent Evangelical,53.28843,-6.356443,TALLAGHT CENTRAL
LifeHouse Church,"Unit 2, Passage Cross",Dunmore Road,Waterford City,Waterford,,https://mylifehouse.wixsite.com/lifehousewaterford,Various Pentecostal,Pentecostal/Charismatic,52.313513,-7.173458,PILTOWN
Light for the People,Unit 6 Office 1-2 Brogans Lane,,Roscommon,Roscommon,F42 HK13,https://www.lightforthepeople.org/,Various Pentecostal,Pentecostal/Charismatic,53.629363,-8.188835,ROSCOMMON
Lighthouse Assembly International Church,Unit 5,"Bóthar Na Mine, Ballybane Industrial Estate",Galway,Galway,H91 RFC1,lighthouseassembly.neocities.org,Various Pentecostal,Pentecostal/Charismatic,53.292123,-9.015201,GALWAY CITY EAST
Lighthouse Church (Dublin),"Odeon Cinema, Blanchardstown Shopping Centre, Blanchardstown Road South",,Dublin 15,Dublin,D15 XKC7,https://www.lighthousechurch.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.3925138,-6.3912158,CASTLEKNOCK
Lighthouse Church (Dundalk),"The Venue, Imperial Hotel, Park Street",,Dundalk,Louth,A91 ND6P,https://www.lighthousechurch.ie/,Christian Churches Ireland,Pentecostal/Charismatic,54.003123,-6.402065,DUNDALK SOUTH
Lighthouse Church (Navan),Johnstown Educational Campus,,Navan,Meath,C15 AE03,https://www.lighthousechurch.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.65283,-6.67939,NAVAN
Limerick – Solas Church,Kilmurry Church Arts & Heritage Centre,"Kilmurry Road, Castletroy",Limerick,Limerick,V94 EH63,https://www.solaschurch.ie/,Reformed Presbyterian Church of Ireland,Presbyterian/Reformed,52.6613325,-8.6131776,LIMERICK CITY NORTH
Limerick (Christ Church) Methodist Church,O'Connell Street,,Limerick,Limerick,V94 VY72,,Methodist,Methodist/Wesleyan,52.6625,-8.6254,LIMERICK CITY WEST
Limerick Baptist Church,Old Cratloe Road,,Caherdavin,Limerick,V94 A564,limerickbaptist.ie,ABCI,Baptist/Independent Evangelical,52.671400,-8.6653,LIMERICK CITY NORTH
Limerick Christian Centre Mungret,Mungret College,Mungret,Limerick,Limerick,V94 0Y56,https://www.limerickchristiancentre.com/contact-us,Independent Evangelical,Baptist/Independent Evangelical,52.63135,-8.679542,LIMERICK CITY WEST
Limerick City Church,,,,,,,Independent Evangelical,Baptist/Independent Evangelical,52.659873,-8.627056,LIMERICK CITY WEST
Listowel Christian Fellowship,,,,,,,Independent Evangelical,Baptist/Independent Evangelical,52.466122,-9.530038,LISTOWEL
Living Hope,FBD Building,Navan Gate Street,Trim,Meath,C15 A6YD,livinghope.ie,ABCI,Baptist/Independent Evangelical,53.553624,-6.793584,TRIM
Living Hope Christian Fellowship,Castlebar Tennis Club Lannagh Road Knockacroghery,,Castlebar,Mayo,F23 TK70,,Various Pentecostal,Pentecostal/Charismatic,53.85131,-9.31034,CASTLEBAR
Living Rock Church,,,,,,,Various Pentecostal,Pentecostal/Charismatic,52.068193,-9.515397,KILLARNEY
Living Stone Parish,"Unit 5, Monaclinoe Business Park, Ballysimon Rd",,Limerick,Limerick,V94 A662,,RCCG,Pentecostal/Charismatic,52.6564,-8.5912,LIMERICK CITY EAST
Livingwater Church,33 Slaney Road,"Dublin Industrial Estate, Glasnevin / Finglas",Dublin 11,Dublin,D11 VA40,facebook.com/livingwaterchurchfinglas,Elim Ministries Ireland,Pentecostal/Charismatic,53.373848,-6.290634,CABRA-GLASNEVIN
Longford Baptist Church,6 Keon's Terrace Dublin Road,,Longford,Longford,N39 Y2X5,,Various Baptist,Baptist/Independent Evangelical,53.7263421,-7.7966678,LONGFORD
Longford Methodist Church,Battery Road,,Longford,Longford,N39 AC62,,Methodist,Methodist/Wesleyan,53.7291,-7.7984,LONGFORD
Louth Community Church Jesus House,Level 2 Barbican Centre William Street,,Drogheda,Louth,,,Various Pentecostal,Pentecostal/Charismatic,53.7149,-6.3488,DROGHEDA URBAN
Lucan Methodist Church,Dispensary Road,,Lucan,Dublin,K78 R7P2,,Methodist,Methodist/Wesleyan,53.3582,-6.4491,LUCAN
Lucan Presbyterian Church,Lower Main Street,,Lucan,Dublin,,https://www.lpc.ie,PCI,Presbyterian/Reformed,53.35804,-6.44846,LUCAN
Malahide Presbyterian Church,Dublin Road,,Malahide,Dublin,K36 PE80,,PCI,Presbyterian/Reformed,53.4501268,-6.1595067,HOWTH-MALAHIDE
Malin Presbyterian Church,"Goorey, Malin",,Lifford,Donegal,,https://www.inishowen4pc.com,PCI,Presbyterian/Reformed,55.31021,-7.31221,CARNDONAGH
Mallow St Christian Fellowship,Mallow Street Hall,Mallow Street,Limerick City,Limerick,V94 DP60,mallowstchristians.com,Brethren,Brethren/Gospel Hall,52.65995,-8.629589,LIMERICK CITY WEST
Manorhamilton Christian Fellowship,Bee Park Community Centre New Line,,Manorhamilton,Leitrim,,,Independent Evangelical,Baptist/Independent Evangelical,54.3062546,-8.1754413,MANORHAMILTON
Maranatha Chapel,Sligo,,Sligo,Sligo,F91 A662,,RCCG,Pentecostal/Charismatic,54.2712,-8.4712,SLIGO-STRANDHILL
Maranatha Christian Community Church,1b Poleberry Link Road,,Waterford,Waterford,X91 WKR8,https://maranatha.ie/,Various Pentecostal,Pentecostal/Charismatic,52.254853,-7.112703,WATERFORD CITY SOUTH
Maranatha Parish,Carrick-on-Shannon,,Carrick-on-Shannon,Leitrim,N41 W902,,RCCG,Pentecostal/Charismatic,53.9452,-8.0912,CARRICK-ON-SHANNON
Maynooth Community Church,Dublin Road,,Maynooth,Kildare,W23 P02A,maynoothcc.org,Independent Evangelical,Baptist/Independent Evangelical,53.381726,-6.593948,MAYNOOTH
Maynooth Presbyterian Church,Dublin Road,,Maynooth,Kildare,,https://www.maynoothcc.org,PCI,Presbyterian/Reformed,53.38407,-6.59475,MAYNOOTH
McKelvey's Grove Presbyterian Church,Loughbrattoge,,Castleblaney,Monaghan,,,PCI,Presbyterian/Reformed,54.18198,-6.70364,CARRICKMACROSS-CASTLEBLAYNEY
Meath Christian Centre,Liscarton,Kells Road,Navan,Meath,C15 Y272,https://www.facebook.com/MeathChristianCentre/,Elim Ministries Ireland,Pentecostal/Charismatic,53.661155,-6.723942,NAVAN
Mercy of God Tabernacle,Killorglin,,Killorglin,Kerry,V93 FP21,,RCCG,Pentecostal/Charismatic,52.1084,-9.7892,KENMARE
Methodist Centenary Church,"Wesley House, Leeson Park",,Ranelagh,Dublin,D06 E542,,Methodist,Methodist/Wesleyan,53.329315,-6.251702,PEMBROKE
Methodist Church Farnagh,Farnagh,,Carrick-on-Shannon,Leitrim,,,Methodist,Methodist/Wesleyan,53.9765,-8.05157,CARRICK-ON-SHANNON
Midleton Baptist Church,Clonmult Memorial Park,,Midleton,Cork,P25 TD73,midletonbaptist.ie,ABCI,Baptist/Independent Evangelical,51.915260,-8.18052,MIDLETON
Milford Presbyterian Church,"Kilmacrennan Road, Milford",,Letterkenny,Donegal,,,PCI,Presbyterian/Reformed,55.08654,-7.70033,MILFORD
Milford Reformed Presbyterian Church,"Unit 1 & 2, Milford Business Park",Glenkeen,Milford,Donegal,F92 PN5D,https://www.rpc.org/milford/,Reformed Presbyterian Church of Ireland,Presbyterian/Reformed,55.0821285,-7.6851138,MILFORD
Ministry of Jesus,7 Le Fanu Road,"Ballyfermot Road, Cherry Orchard",Dublin 10,Dublin,D10 NH74,ministryofjesus.ie,Various Pentecostal,Pentecostal/Charismatic,53.342156,-6.356633,BALLYFERMOT-DRIMNAGH
Miracle Land,Dundalk,,Dundalk,Louth,A91 K074,,RCCG,Pentecostal/Charismatic,54.0024,-6.4123,DUNDALK-CARLINGFORD
Monaghan - First Presbyterian Church,Dublin Street,,Monaghan Town,Monaghan,,https://www.firstmonaghanpci.org,PCI,Presbyterian/Reformed,54.24716,-6.96607,MONAGHAN
Monaghan Elim Pentecostal Church,Drumbear,Ballybay Road,Monaghan,Monaghan,H18 TE81,https://www.monaghanelim.com/,Elim Ministries Ireland,Pentecostal/Charismatic,54.234854,-6.963795,MONAGHAN
Monaghan Methodist Church,Dawson Street,,Monaghan,Monaghan,,,Methodist,Methodist/Wesleyan,54.2472087,-6.9685796,MONAGHAN
Monreagh Presbyterian Church,"Glebe, Monreagh",,St Johnston,Donegal,,,PCI,Presbyterian/Reformed,54.95625,-7.45621,BUNCRANA
Mount Olive Tamil Church,Saint Alphonsus' Monastery,"Saint Alphonsus' Road Upper, Drumcondra",Dublin 9,Dublin,,mountolivetamilchurch.com,International Church,Pentecostal/Charismatic,53.365625,-6.261252,CABRA-GLASNEVIN
"Mountain of Fire & Miracles Ministries, Waterford, Ireland (MFM)",Unit 52 Westside Business Park,Old Kilmeaden Road,Waterford,Waterford,X91 XE27,https://www.facebook.com/MfmWaterford/,Various Pentecostal,Pentecostal/Charismatic,52.249314,-7.162947,WATERFORD CITY SOUTH
Mountmellick Methodist Church,Parnell Street,,Mountmellick,Laois,R32 E062,,Methodist,Methodist/Wesleyan,53.1182,-7.3271,BORRIS-IN-OSSORY-MOUNTMELLICK
Moville Presbyterian Church,"Glencrow, Moville",,Lifford,Donegal,,https://www.inishowen4pc.com,PCI,Presbyterian/Reformed,55.18834,-7.04405,CARNDONAGH
Mullingar Christian Fellowship,Spout Well Lane,,Mullingar,Westmeath,N91 C56R,mullingarcf.ie,Independent Evangelical,Baptist/Independent Evangelical,53.526233,-7.339066,MULLINGAR
Mullingar Presbyterian Church,"35-39 Grange Crescent, Rathgowan",,Mullingar,Westmeath,,https://www.mullingarpresbyterian.com,PCI,Presbyterian/Reformed,53.52687,-7.34008,MULLINGAR
Naas Baptist Fellowship,Monread Community Centre,Maudlins Avenue,Naas,Kildare,W91 FNV9,naasbaptist.ie,ABCI,Baptist/Independent Evangelical,53.220565,-6.659308,NAAS
Naas Community Church,Millbrook,,Naas,Kildare,W91 EH96,https://www.naaschurch.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.2166451,-6.6589422,NAAS
Naas Presbyterian Church,North Main Street,,Naas,Kildare,,https://www.naaspci.ie,PCI,Presbyterian/Reformed,53.21783,-6.66364,NAAS
Navan Baptist Church,65 Flower Hill,,Navan,Meath,C15 D762,,Various Baptist,Baptist/Independent Evangelical,53.6559882,-6.680708,NAVAN
Nazarene Community Church - Greystones,"10 Burnaby Avenue, Killincarrig",,Greystones,Wicklow,,https://nazarene.ie,Church of the Nazarene,Methodist/Wesleyan,53.131311,-6.071152,GREYSTONES
Nenagh Baptist Church,Nenagh Arts Centre,"Town Hall, Banba Square",Nenagh,Tipperary,E45 NX26,nenaghbaptistchurch.eu,ABCI,Baptist/Independent Evangelical,52.864297,-8.197556,NENAGH
New Apostolic Church Dublin,Quaker House Stocking Lane Rathfarnham,,Dublin,Dublin,D16 V3F8,,Various Pentecostal,Pentecostal/Charismatic,53.2726162,-6.3060898,FIRHOUSE-BOHERNABREENA
New Covenant,"Unit 3, Antley Business Park",,Ballymahon,Longford,N39 R262,,RCCG,Pentecostal/Charismatic,53.5624,-7.7612,BALLYMAHON
New Covenant Church Blanchardstown,Unit A1 BASE Enterprise Centre Damastown Road Mulhuddart,,Dublin,Dublin,,,Various Pentecostal,Pentecostal/Charismatic,53.4080100,-6.400643,BLANCHARDSTOWN-MULHUDDART
New Covenant Church Tralee,,,,,,,Independent Evangelical,Baptist/Independent Evangelical,52.271156,-9.707091,TRALEE
New Covenant Church Tralee,5 Maine Street,,Tralee,Kerry,,,Various Pentecostal,Pentecostal/Charismatic,52.2711913,-9.7071113,TRALEE
New Dawn Assembly,Midleton Community Centre,,Midleton,Cork,P25 V264,,RCCG,Pentecostal/Charismatic,51.9145,-8.1724,MIDLETON
New Generation,Limerick,,Limerick,Limerick,V94 FP21,,RCCG,Pentecostal/Charismatic,52.6684,-8.6312,LIMERICK CITY NORTH
New Hope Christian Centre,36 Hebron Park,,Kilkenny,Kilkenny,,https://www.facebook.com/newhopekilkenny/,Various Pentecostal,Pentecostal/Charismatic,52.652597,-7.232302,KILKENNY
New Life Assembly,"Unit 23, Tramore Road Business Park",,Waterford,Waterford,X91 R262,,RCCG,Pentecostal/Charismatic,52.2512,-7.1212,WATERFORD CITY SOUTH
New Life Baptist Church,Unit 14 The Workspace Centre Mayoralty Street,,Drogheda,Louth,A92 V963,,Various Baptist,Baptist/Independent Evangelical,53.7158,-6.3492,DROGHEDA URBAN
New Life Christian Church,Smithstown Industrial Estate,,Shannon,Clare,V14 ER83,,Various Pentecostal,Pentecostal/Charismatic,52.7166770,-8.8730233,SHANNON
New Life Church,Ardrostig House,Bishopstown,Cork,Cork,,https://www.facebook.com/NewLifeChurchCork/,Various Pentecostal,Pentecostal/Charismatic,51.872838,-8.521788,CORK CITY SOUTH WEST
New Life Church Birr,"New Order District, Syngefield Business Park",,Birr,Offaly,R42 PR27,,Elim Ministries Ireland,Pentecostal/Charismatic,53.0925949,-7.8953263,BIRR
New Life Church Dublin,1 Drumfinn Park,,Dublin 10,Dublin,,https://www.nlcdublin.com,International Church,Pentecostal/Charismatic,53.344176,-6.359673,BALLYFERMOT-DRIMNAGH
New Life Family Church (Drogheda),"Units 1 & 2, Mill Wharf, Merchants Quay",,Drogheda,Louth,A92 H324,https://www.nlfc.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.7152303,-6.3458384,DROGHEDA URBAN
New Life Fellowship Church,Day Centre,Off Oliver Plunkett Road,Letterkenny,Donegal,,newlifefellowship.ie,Independent Evangelical,Baptist/Independent Evangelical,54.94806,-7.736274,LETTERKENNY
New Life International Ministries,"Unit 31, Cherry Orchard Industrial Estate",Ballyfermot Road,Dublin 10,Dublin,,newlifedublin.com,Various Pentecostal,Pentecostal/Charismatic,53.346165,-6.373474,PALMERSTOWN-FONTHILL
New Life United Pentecostal Church Dundalk,Dundalk Lawn Tennis & Badminton Club The Ramparts,,Dundalk,Louth,,,Various Pentecostal,Pentecostal/Charismatic,54.0010,-6.402,DUNDALK SOUTH
New Overcomers,Mullingar,,Mullingar,Westmeath,N91 FP21,,RCCG,Pentecostal/Charismatic,53.5243,-7.3412,MULLINGAR
Newbliss Presbyterian Church,Drumshannon,,Newbliss,Monaghan,,https://clonespchurchesgroup.wixsite.com/clonespchurchesgroup,PCI,Presbyterian/Reformed,54.16074,-7.13093,BALLYBAY-CLONES
Newbridge Bible Fellowship Church,Liffey Lodge,,Newbridge,Kildare,W12 CK00,,Independent Evangelical,Baptist/Independent Evangelical,53.1805,-6.796,NEWBRIDGE
Newcastle West Bible Fellowship,North Quay,,Newcastle West,Limerick,,https://www.ncwbiblefellowship.com/,Brethren,Brethren/Gospel Hall,52.449692,-9.057948,NEWCASTLE WEST
Newtowncunningham Presbyterian Church,"Monad Road, Newtowncunningham",,Lifford,Donegal,,,PCI,Presbyterian/Reformed,54.99561,-7.52195,BUNCRANA
North City Baptist Church,Deaf Village Ireland,Ratoath Road,Cabra West,Dublin,D07 V4KP,www.northcitychurch.ie,ABCI,Baptist/Independent Evangelical,53.369048,-6.299793,CABRA-GLASNEVIN
North Clare Community Church,Ennistymon Community Centre,Parliament St,Ennistymon,Clare,V95 X8XC,https://www.northclarechurch.com,Calvary Chapel,Other Protestant/Evangelical,52.9405119,-9.291085,ENNISTIMON
Oasis Arena,"Unit 2A, Block 1, Lackenwood Business Park",,Waterford,Waterford,X91 E274,,RCCG,Pentecostal/Charismatic,52.2512,-7.1212,WATERFORD CITY SOUTH
Oasis Christian Fellowship,"Oasis Christian Centre, Gaol Road",,Roscrea,Tipperary,,,Elim Ministries Ireland,Pentecostal/Charismatic,52.9530000,-7.801,ROSCREA-TEMPLEMORE
Oasis of Grace Centre,Maynooth,,Maynooth,Kildare,W23 FP21,,RCCG,Pentecostal/Charismatic,53.3812,-6.5912,MAYNOOTH
Open Arms Church (Newbridge),"4 The Pier, Irish Row",,Newbridge,Kildare,W12 HT38,https://openarms.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.1723845,-6.7960429,NEWBRIDGE
Open Arms Church (Sandyford),"69c Heather Road, Sandyford Business Park",,Dublin,Dublin,D18 Y9F6,https://openarms.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.273702,-6.212426,GLENCULLEN-SANDYFORD
Open Door Christian Fellowship,"Northwest Business Park, Unit 5D Bymac Centre",,"Blanchardstown, Dublin 15",Dublin,,,Assemblies of God,Pentecostal/Charismatic,53.4112,-6.355819,BLANCHARDSTOWN-MULHUDDART
Open Heavens,"20 Lee Road, Dublin Industrial Estate, Glasnevin",,Dublin,Dublin,D11 A662,,RCCG,Pentecostal/Charismatic,53.3784,-6.2912,BALLYMUN-FINGLAS
Oranmore Community Church,Maldron Hotel Carrowmoneash,,Oranmore,Galway,H91 K7FA,,Various Baptist,Baptist/Independent Evangelical,53.2773623,-8.9283634,ATHENRY-ORANMORE
Our God Reigns,"The Community Centre, 32 Mourne Park",,Skerries,Dublin,K34 FP21,,RCCG,Pentecostal/Charismatic,53.5824,-6.1112,BALBRIGGAN
Overcomers Chapel,"The Scout Den, Balheary Road",,Swords,Dublin,K67 E6Y7,,RCCG,Pentecostal/Charismatic,53.4684,-6.2234,SWORDS
Passage Baptist Church,Fr Collins Centre,Cork Street,Passage West,Cork,T12 DT78,passagebaptistchurch.ie,ABCI,Baptist/Independent Evangelical,51.869751,-8.336546,CARRIGALINE
Peoples Church Cavan,18 River Street,Townparks,Cavan,Cavan,H12 RR28,https://www.instagram.com/bechurch.cavan/,Various Pentecostal,Pentecostal/Charismatic,53.988897,-7.361735,CAVAN-BELTURBET
Peoples Church Dublin City,67A Pearse Street,,Dublin 2,Dublin,,https://www.peopleschurchdublin.com/,Various Pentecostal,Pentecostal/Charismatic,53.343636,-6.245977,SOUTH EAST INNER CITY
Portlaoise Life Church,"Unit A11, National Enterprise Park",,Portlaoise,Laois,R32 HA21,portlaoise.lifechurch.ie,Various Pentecostal,Pentecostal/Charismatic,53.022837,-7.314726,PORTLAOISE
Portlaoise Methodist Church,Heatlow,,Portlaoise,Laois,R32 TP08,,Methodist,Methodist/Wesleyan,53.0331,-7.3002,PORTLAOISE
Potters House,"Unit 7B, Block 50, Rosemount Business Park",,Dublin,Dublin,D11 W902,,RCCG,Pentecostal/Charismatic,53.3984,-6.3512,BLANCHARDSTOWN-MULHUDDART
Power House,"Office 5, 12 Main Street Lower",,Lucan,Dublin,K78 N2V0,,RCCG,Pentecostal/Charismatic,53.3564,-6.4512,LUCAN
Radical Life Christian Church,"Unit 6, St Patrick's Woollen Mills",Douglas,Cork,Cork,T12 A361,https://radicallife.ie/,Various Pentecostal,Pentecostal/Charismatic,51.876138,-8.440656,CORK CITY SOUTH EAST
Ramelton Presbyterian Church,"Church Street, Ramelton",,Letterkenny,Donegal,,https://www.rameltonpresbyterianchurch.com,PCI,Presbyterian/Reformed,55.03634,-7.64522,MILFORD
Ranelagh Christian Church,47A Ranelagh Road,,Ranelagh,Dublin,D06 NX99,,Church of Christ,Other Protestant/Evangelical,53.326833,-6.256637,PEMBROKE
Raphoe & Ballindrait Presbyterian Church,"Meetinghouse Street, Raphoe",,Lifford,Donegal,,,PCI,Presbyterian/Reformed,54.87364,-7.59888,LIFFORD-STRANORLAR
Raphoe Congregational Church,Derry Road,Magheraboy,Raphoe,Donegal,,https://raphoechurch.com/,Congregational,Baptist/Independent Evangelical,54.875916,-7.588112,LIFFORD-STRANORLAR
Rathgar Methodist Church,6 Brighton Road,,Terenure,Dublin,D06 H797,,Methodist,Methodist/Wesleyan,53.3152,-6.2751,KIMMAGE-RATHMINES
Rathmullan Presbyterian Church,"Pier Road, Rathmullan",,Letterkenny,Donegal,,,PCI,Presbyterian/Reformed,55.0959,-7.53508,MILFORD
Ray Presbyterian Church,"Errity, Manorcunningham",,Letterkenny,Donegal,,,PCI,Presbyterian/Reformed,54.95407,-7.62065,LETTERKENNY
Redeemer Church,Rathfarnham Educate Together,Lereto Ave,Dublin,Dublin,D14 V5W4,https://www.redeemerdublin.ie/,Independent Evangelical,Baptist/Independent Evangelical,53.291757,-6.275089,DUNDRUM
Reformed Presbyterian Fellowship,"Ulster Room, Dublin Skylon Hotel, Upper Drumcondra Road",,Dublin 9,Dublin,D09 V1Y2,,Reformed Presbyterian Church of Ireland,Presbyterian/Reformed,53.372744,-6.253451,CABRA-GLASNEVIN
Rehoboth Christian Church,Pipe Band Hall,,Tralee,Kerry,V92 DR13,,Various Pentecostal,Pentecostal/Charismatic,52.2711120,-9.7101171,TRALEE
Resurrection Assembly,Carrick-On-Suir,,Carrick-On-Suir,Tipperary,E32 FP21,,RCCG,Pentecostal/Charismatic,52.3484,-7.4123,CARRICK-ON-SUIR
River Church Limerick,Leamy House Prior's-Land,,Limerick,Limerick,V94 CH9E,,Various Pentecostal,Pentecostal/Charismatic,52.6589221,-8.6306466,LIMERICK CITY WEST
River Of Life Athlone Le Ceile Christian Church,Grace Road,Le Chéile,Athlone,Westmeath,N37 H398,https://www.riveroflife.ie,Plumbline,Other Protestant/Evangelical,53.428572,-7.95038,ATHLONE
River Valley Baptist Church,Blacklion,Dublin / Leixlip Road,Maynooth,Kildare,,https://rivervalleybc.org/contact/,Various Baptist,Baptist/Independent Evangelical,53.381022,-6.577727,MAYNOOTH
Riverside Gospel Hall,2 Allen Square,,Bandon,Cork,P72 TE29,https://www.riversidegospelhall.com/,Brethren,Brethren/Gospel Hall,51.747039,-8.741141,BANDON-KINSALE
Rockcorry Presbyterian Church,Main Street,,Rockcorry,Monaghan,,,PCI,Presbyterian/Reformed,54.11686,-7.01519,BALLYBAY-CLONES
Roscrea Methodist Church,The Mall,,Roscrea,Tipperary,E53 H019,,Methodist,Methodist/Wesleyan,52.9551,-7.7972,ROSCREA-TEMPLEMORE
Royal Embassy Drogheda,Holy Family Community Centre Ballsgrove,,Drogheda,Louth,A92 A9PH,,RCCG,Pentecostal/Charismatic,53.7198,-6.3272,DROGHEDA URBAN
Sanctuary for all Nations,Drogheda,,Drogheda,Louth,A92 W902,,RCCG,Pentecostal/Charismatic,53.7123,-6.3512,DROGHEDA URBAN
Sanctuary of His Glory,Freedom Hall,,Mallow,Cork,P51 V262,,RCCG,Pentecostal/Charismatic,52.1384,-8.6412,MALLOW
Shalom Christian Fellowship,"Dawson Street / YWCA Hall, North Road",,Monaghan,Monaghan,H18 T228,https://www.facebook.com/ShalomChristianFellowshipMonaghan/,Independent Evangelical,Baptist/Independent Evangelical,54.247117,-6.970829,MONAGHAN
Shalom Prayer Fellowship,9 Well Road Kylekiproe,,Portlaoise,Laois,R32 CRC0,,Various Pentecostal,Pentecostal/Charismatic,53.0328324,-7.2944049,PORTLAOISE
Shankill Bible Church,Glen Maris House,Eaton Wood Grove,Shankill,Dublin,D18 WK27,https://www.shankillbiblechurch.org/,Brethren,Brethren/Gospel Hall,53.234116,-6.116952,KILLINEY-SHANKILL
Shannon Christian Church,"Unit 2, Smithstown",,Shannon,Clare,V14 KX52,https://shannonchristians.ie/,Independent Evangelical,Baptist/Independent Evangelical,52.716366,-8.870825,SHANNON
Shinrone Methodist Church,Main Street,,Shinrone,Offaly,R42 N932,,Methodist,Methodist/Wesleyan,52.9982,-7.8681,BIRR
Skerries Methodist Church,Mourne View,,Skerries,Dublin,K34 PP62,,Methodist,Methodist/Wesleyan,53.5821,-6.1112,BALBRIGGAN
Skibbereen Methodist Church,Mill Road,,Skibbereen,Cork,P81 V184,,Methodist,Methodist/Wesleyan,51.5512,-9.2661,SKIBBEREEN-WEST CORK
Sligo Baptist Church,Cartron Village,Rosses Point Road,Sligo,Sligo,F91X E42,facebook.com/pages/Sligo-Baptist-Church/273579899430747,ABCI,Baptist/Independent Evangelical,54.270601,-8.471644,SLIGO-STRANDHILL
Sligo City Church,"Mercy College, Chapel Hill, Abbeyquarter South",,Sligo,Sligo,F91 CF80,,Various Pentecostal,Pentecostal/Charismatic,54.2669594,-8.468642,SLIGO-STRANDHILL
Sligo Presbyterian Church,Church Street,,Sligo,Sligo,F91 A312,https://www.facebook.com/sligopresbyterianchurch/,PCI,Presbyterian/Reformed,54.26957,-8.475566,SLIGO-STRANDHILL
Smithborough Presbyterian Church,Mulladuff,,Smithborough,Monaghan,,,PCI,Presbyterian/Reformed,54.22223,-7.09804,BALLYBAY-CLONES
Solemn Assembly,Carrickmacross,,Carrickmacross,Monaghan,A81 E023,,RCCG,Pentecostal/Charismatic,53.9784,-6.7123,CARRICKMACROSS-CASTLEBLAYNEY
Solid Rock Centre Dublin,"6B Goldenbridge Industrial Estate, Tyrconnell Road, Inchicore",,Dublin 8,Dublin,D08 F880,https://solidrockdublin.org,Various Pentecostal,Pentecostal/Charismatic,53.335647,-6.323949,SOUTH WEST INNER CITY
Solid Rock Church of God - Drogheda,"Whitethorn House, Ballymakenny Road",,Drogheda,Louth,,,Various Pentecostal,Pentecostal/Charismatic,53.728832,-6.343639,DROGHEDA RURAL
Solid Rock Dublin,"6B Goldenbridge Industrial Estate, Inchicore",,Dublin 8,Dublin,D08 F880,,Various Pentecostal,Pentecostal/Charismatic,53.33609,-6.32385,SOUTH WEST INNER CITY
Solid Rock Parish,Ballinasloe,,Ballinasloe,Galway,H53 X084,,RCCG,Pentecostal/Charismatic,53.3294,-8.2234,BALLINASLOE
Solid Rock Portlaoise,Midlands Park Hotel Jessop Street Maryborough,,Portlaoise,Laois,R32 KV20,,Various Pentecostal,Pentecostal/Charismatic,53.0350261,-7.3024575,PORTLAOISE
South City Church,Glenalbyn Sports and Conference Centre,"Glenalbyn Road, Stillorgan",Dublin,Dublin,A94 WC62,https://www.southcitychurch.ie,Independent Evangelical,Baptist/Independent Evangelical,53.286534,-6.200003,STILLORGAN
